measurement_id,timestamp,panjang_cm,lebar_cm,tinggi_cm,volume_cm3,berat_volumetrik_g,berat_aktual_g,chargeable_weight_g,chargeable_weight_kg,chargeable_source,actual_weight_range_g,detection_mode,detection_image,mask_image,json_file
integrated_20260521_012754_564665,2026-05-21 01:27:54,10.891,8.922,3.571,346.983,57.83,592.166,592.166,0.592166,actual,0.343,hsv_cardboard,hasil_tahap14/archive/detection_20260521_012754_564665.jpg,hasil_tahap14/archive/mask_20260521_012754_564665.jpg,hasil_tahap14/archive/integrated_20260521_012754_564665.json
integrated_20260521_013030_802947,2026-05-21 01:30:30,8.671,8.623,3.871,289.463,48.244,25.924,48.244,0.048244,volumetric,0.893,hsv_cardboard,hasil_tahap14/archive/detection_20260521_013030_802947.jpg,hasil_tahap14/archive/mask_20260521_013030_802947.jpg,hasil_tahap14/archive/integrated_20260521_013030_802947.json
integrated_20260521_013251_293376,2026-05-21 01:32:51,12.061,10.541,8.809,1119.901,186.65,45.376,186.65,0.18665,volumetric,0.598,hsv_cardboard,hasil_tahap14/archive/detection_20260521_013251_293376.jpg,hasil_tahap14/archive/mask_20260521_013251_293376.jpg,hasil_tahap14/archive/integrated_20260521_013251_293376.json
integrated_20260521_013721_341924,2026-05-21 01:37:21,10.907,8.723,4.144,394.253,65.709,585.521,585.521,0.585521,actual,0.515,hsv_cardboard,hasil_tahap14/archive/detection_20260521_013721_341924.jpg,hasil_tahap14/archive/mask_20260521_013721_341924.jpg,hasil_tahap14/archive/integrated_20260521_013721_341924.json
integrated_20260521_014341_974112,2026-05-21 01:43:41,6.062,6.006,6.474,235.719,39.286,279.858,279.858,0.279858,actual,0.513,hsv_cardboard,hasil_tahap14/archive/detection_20260521_014341_974112.jpg,hasil_tahap14/archive/mask_20260521_014341_974112.jpg,hasil_tahap14/archive/integrated_20260521_014341_974112.json
integrated_20260521_014404_703435,2026-05-21 01:44:04,7.06,6.766,2.996,143.105,23.851,280.444,280.444,0.280444,actual,0.359,hsv_cardboard,hasil_tahap14/archive/detection_20260521_014404_703435.jpg,hasil_tahap14/archive/mask_20260521_014404_703435.jpg,hasil_tahap14/archive/integrated_20260521_014404_703435.json
integrated_20260521_014419_593221,2026-05-21 01:44:19,6.026,5.934,6.492,232.168,38.695,282.633,282.633,0.282633,actual,0.543,hsv_cardboard,hasil_tahap14/archive/detection_20260521_014419_593221.jpg,hasil_tahap14/archive/mask_20260521_014419_593221.jpg,hasil_tahap14/archive/integrated_20260521_014419_593221.json
integrated_20260521_014850_947018,2026-05-21 01:48:50,8.776,8.482,3.868,287.912,47.985,320.219,320.219,0.320219,actual,1.394,hsv_cardboard,hasil_tahap14/archive/detection_20260521_014850_947018.jpg,hasil_tahap14/archive/mask_20260521_014850_947018.jpg,hasil_tahap14/archive/integrated_20260521_014850_947018.json
integrated_20260521_015505_788504,2026-05-21 01:55:05,9.883,9.707,0.0,0.0,0.0,334.269,334.269,0.334269,actual,0.373,hsv_cardboard,hasil_tahap14/archive/detection_20260521_015505_788504.jpg,hasil_tahap14/archive/mask_20260521_015505_788504.jpg,hasil_tahap14/archive/integrated_20260521_015505_788504.json
integrated_20260521_015526_833793,2026-05-21 01:55:26,9.015,8.893,2.704,216.805,36.134,328.158,328.158,0.328158,actual,0.146,hsv_cardboard,hasil_tahap14/archive/detection_20260521_015526_833793.jpg,hasil_tahap14/archive/mask_20260521_015526_833793.jpg,hasil_tahap14/archive/integrated_20260521_015526_833793.json
